COMID,qout
23016205,49.33555
23016206,47.69821
23016207,46.979576
23016208,45.975933
23016209,45.37238
23016210,35.17696
23016269,9.585416
23016272,9.34696
23016276,8.96291
23016282,7.598063
23016451,1.2096186
23016646,1.0520014
23016732,0.7993905
23016773,0.5445678
23016830,0.25092596
23016862,0.52477413
23016877,0.20554937
23016879,0.21630639
23016888,0.24626192
23016937,0.25021002
23017006,0.2548836
23017062,0.34323546
23017110,0.62018085
23017420,32.909782
23017422,31.375439
23017423,29.868057
23017425,28.243198
23017428,27.131973
23017429,25.391216
23017432,24.132284
23017436,16.665577
23017437,5.9003587
23017479,8.979874
23017481,7.027628
23017483,5.4608197
23017665,6.0314646
23017686,7.375554
23017708,5.367224
23017711,4.423703
23017745,5.9362144
23017746,3.9854634
23017757,3.3506975
23017790,1.5581236
23017797,1.3774222
23017822,2.055757
23017825,1.3667097
23017839,1.1825233
23017935,1.2987367
23017962,0.8646472
23017990,3.2058723
23017994,1.5632309
23018018,0.41316012
23018055,1.1644443
23018056,0.9794865
23018091,1.825794
23018105,1.2010049
23018106,0.38571846
23018119,0.45795172
23018125,0.63464504
23018133,0.7228576
23018172,0.42825836
23018176,0.8999642
23018213,0.40026248
23018246,0.4513868
23018254,0.43036076
23018303,0.6557918
23018310,0.28010017
23018315,0.46247452
23018370,0.34149253
23018373,0.8664441
23018421,0.6840148
23018425,0.38992566
23018484,0.3914929
23018843,2.8047771
23019493,1.0648366
