COMID,pfafstetter
23016205,1
23016206,31
23016207,33
23016208,35
23016209,37
23016210,51
23016269,411
23016272,413
23016276,415
23016282,431
23016451,421
23016646,21
23016732,341
23016773,343
23016830,414
23016862,36
23016877,344
23016879,412
23016888,345
23016937,342
23017006,32
23017062,22
23017110,23
23017420,531
23017422,533
23017423,55
23017425,571
23017428,573
23017429,575
23017432,59
23017436,7
23017437,8
23017479,91
23017481,93
23017483,95
23017665,433
23017686,61
23017708,45
23017711,471
23017745,63
23017746,473
23017757,475
23017790,561
23017797,521
23017822,491
23017825,493
23017839,481
23017935,94
23017962,58
23017990,65
23017994,92
23018018,574
23018055,62
23018056,495
23018091,64
23018105,54
23018106,494
23018119,492
23018125,572
23018133,483
23018172,474
23018176,563
23018213,482
23018246,562
23018254,472
23018303,44
23018310,532
23018315,46
23018370,432
23018373,523
23018421,423
23018425,522
23018484,422
23018843,97
23019493,96
