COMID,qout
43031630,0.5229103
43031833,0.335614
43031945,2.449792
43031979,1.876089
43032082,1.0472065
43032087,1.3271468
43032094,0.7042995
43032147,0.472686
43032171,0.7011312
43032234,0.6739846
43032260,0.36629862
43032532,0.24505675
43032577,0.24748024
43032740,0.07108009
43032803,0.23209673
43033002,0.1365054
43033044,0.16339934
43033100,0.22162642
43033108,0.07822542
43033135,0.07798154
43033298,0.087836206
43033385,0.33317614
43033407,0.22787201
43033421,0.16218899
43033582,0.12245653
43033736,0.35341027
43033780,0.126605
43033995,0.11455808
43034045,0.06904398
43034072,0.12729993
43034125,0.5657569
43034134,0.09791754
43034714,6.873019
43034716,6.8045216
43034718,6.586296
43034723,6.3817835
43034730,6.305263
43034737,6.026931
43034754,1.9725544
43034767,1.8284099
43034784,1.6909418
43034810,0.654624
43035156,4.047564
43035240,2.6813304
43035248,1.2556164
43035252,0.97542
43035870,0.21785401
43035995,0.19965896
43036845,0.041735165
43036857,0.05677601
43036935,0.066700645
43037062,0.11542607
43037107,0.056004055
43037230,0.07776835
43037449,0.10987054
43037483,0.23149882
43037637,0.11992824
