COMID,pfafstetter
43031630,443
43031833,445
43031945,73
43031979,91
43032082,63
43032087,93
43032094,65
43032147,67
43032171,47
43032234,95
43032260,97
43032532,991
43032577,481
43032740,442
43032803,46
43033002,62
43033044,483
43033100,64
43033108,482
43033135,444
43033298,68
43033385,49
43033407,66
43033421,72
43033582,92
43033736,69
43033780,94
43033995,98
43034045,992
43034072,993
43034125,8
43034134,96
43034714,11
43034716,13
43034718,15
43034723,17
43034730,19
43034737,3
43034754,41
43034767,431
43034784,433
43034810,441
43035156,5
43035240,71
43035248,61
43035252,45
43035870,141
43035995,161
43036845,12
43036857,142
43036935,18
43037062,143
43037107,162
43037230,163
43037449,42
43037483,2
43037637,432
